Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O43613	reviewed	OX1R_HUMAN	Orexin/Hypocretin receptor type 1 (Hypocretin receptor type 1) (Orexin receptor type 1) (Ox-1-R) (Ox1-R) (Ox1R)	HCRTR1	Homo sapiens (Human)	425
O43614	reviewed	OX2R_HUMAN	Orexin receptor type 2 (Ox-2-R) (Ox2-R) (Ox2R) (Hypocretin receptor type 2)	HCRTR2	Homo sapiens (Human)	444
P35367	reviewed	HRH1_HUMAN	Histamine H1 receptor (H1R) (HH1R)	HRH1	Homo sapiens (Human)	487
P25021	reviewed	HRH2_HUMAN	Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I)	HRH2	Homo sapiens (Human)	359
Q9Y5N1	reviewed	HRH3_HUMAN	Histamine H3 receptor (H3R) (HH3R) (G-protein coupled receptor 97)	HRH3 GPCR97	Homo sapiens (Human)	445
Q9H3N8	reviewed	HRH4_HUMAN	Histamine H4 receptor (H4R) (HH4R) (AXOR35) (G-protein coupled receptor 105) (GPRv53) (Pfi-013) (SP9144)	HRH4 GPCR105	Homo sapiens (Human)	390
P28845	reviewed	DHI1_HUMAN	11-beta-hydroxysteroid dehydrogenase 1 (11-DH) (11-beta-HSD1) (EC 1.1.1.146) (7-oxosteroid reductase) (EC 1.1.1.201) (Corticosteroid 11-beta-dehydrogenase isozyme 1) (Short chain dehydrogenase/reductase family 26C member 1)	HSD11B1 HSD11 HSD11L SDR26C1	Homo sapiens (Human)	292
P80365	reviewed	DHI2_HUMAN	11-beta-hydroxysteroid dehydrogenase type 2 (11-DH2) (11-beta-HSD2) (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type II) (11-HSD type II) (11-beta-HSD type II) (Corticosteroid 11-beta-dehydrogenase isozyme 2) (NAD-dependent 11-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 3)	HSD11B2 HSD11K SDR9C3	Homo sapiens (Human)	405
P15515	reviewed	HIS1_HUMAN	Histatin-1 (Hst1) (Histidine-rich protein 1) (Post-PB protein) (PPB) [Cleaved into: His1-(31-57)-peptide (His1 31/57) (His1-(12-38)-peptide) (His1 12/38) (Histatin 2) (Hst2) (Histatin-2)]	HTN1 HIS1	Homo sapiens (Human)	57
P08908	reviewed	5HT1A_HUMAN	5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A)	HTR1A ADRB2RL1 ADRBRL1	Homo sapiens (Human)	422
P28222	reviewed	5HT1B_HUMAN	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B)	HTR1B HTR1DB	Homo sapiens (Human)	390
P28221	reviewed	5HT1D_HUMAN	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D)	HTR1D HTR1DA HTRL	Homo sapiens (Human)	377
P28566	reviewed	5HT1E_HUMAN	5-hydroxytryptamine receptor 1E (5-HT-1E) (5-HT1E) (S31) (Serotonin receptor 1E)	HTR1E	Homo sapiens (Human)	365
P30939	reviewed	5HT1F_HUMAN	5-hydroxytryptamine receptor 1F (5-HT-1F) (5-HT1F) (Serotonin receptor 1F)	HTR1F HTR1EL	Homo sapiens (Human)	366
P28223	reviewed	5HT2A_HUMAN	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A HTR2	Homo sapiens (Human)	471
P41595	reviewed	5HT2B_HUMAN	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (Serotonin receptor 2B)	HTR2B	Homo sapiens (Human)	481
P28335	reviewed	5HT2C_HUMAN	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	HTR2C HTR1C	Homo sapiens (Human)	458
Q13639	reviewed	5HT4R_HUMAN	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	HTR4	Homo sapiens (Human)	388
P47898	reviewed	5HT5A_HUMAN	5-hydroxytryptamine receptor 5A (5-HT-5) (5-HT-5A) (5-HT5A) (Serotonin receptor 5A)	HTR5A	Homo sapiens (Human)	357
P50406	reviewed	5HT6R_HUMAN	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	HTR6	Homo sapiens (Human)	440
P34969	reviewed	5HT7R_HUMAN	5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (Serotonin receptor 7)	HTR7	Homo sapiens (Human)	479
P13612	reviewed	ITA4_HUMAN	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)	ITGA4 CD49D	Homo sapiens (Human)	1032
Q13797	reviewed	ITA9_HUMAN	Integrin alpha-9 (Integrin alpha-RLC)	ITGA9	Homo sapiens (Human)	1035
P05556	reviewed	ITB1_HUMAN	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	ITGB1 FNRB MDF2 MSK12	Homo sapiens (Human)	798
Q969F8	reviewed	KISSR_HUMAN	KiSS-1 receptor (KiSS-1R) (G-protein coupled receptor 54) (G-protein coupled receptor OT7T175) (hOT7T175) (Hypogonadotropin-1) (Kisspeptins receptor) (Metastin receptor)	KISS1R AXOR12 GPR54	Homo sapiens (Human)	398
Q9BXB1	reviewed	LGR4_HUMAN	Leucine-rich repeat-containing G-protein coupled receptor 4 (G-protein coupled receptor 48)	LGR4 GPR48	Homo sapiens (Human)	951
O75473	reviewed	LGR5_HUMAN	Leucine-rich repeat-containing G-protein coupled receptor 5 (G-protein coupled receptor 49) (G-protein coupled receptor 67) (G-protein coupled receptor HG38)	LGR5 GPR49 GPR67	Homo sapiens (Human)	907
Q9HBX8	reviewed	LGR6_HUMAN	Leucine-rich repeat-containing G-protein coupled receptor 6	LGR6 UNQ6427/PRO21331 VTS20631	Homo sapiens (Human)	967
P22888	reviewed	LSHR_HUMAN	Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LHR) (LSH-R)	LHCGR LCGR LGR2 LHRHR	Homo sapiens (Human)	699
Q68DH5	reviewed	LMBD2_HUMAN	G-protein coupled receptor-associated protein LMBRD2 (LMBR1 domain-containing protein 2)	LMBRD2	Homo sapiens (Human)	695
Q92633	reviewed	LPAR1_HUMAN	Lysophosphatidic acid receptor 1 (LPA receptor 1) (LPA-1) (Lysophosphatidic acid receptor Edg-2)	LPAR1 EDG2 LPA1	Homo sapiens (Human)	364
Q9HBW0	reviewed	LPAR2_HUMAN	Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4)	LPAR2 EDG4 LPA2	Homo sapiens (Human)	348
Q9UBY5	reviewed	LPAR3_HUMAN	Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7)	LPAR3 EDG7 LPA3	Homo sapiens (Human)	353
Q99677	reviewed	LPAR4_HUMAN	Lysophosphatidic acid receptor 4 (LPA receptor 4) (LPA-4) (G-protein coupled receptor 23) (P2Y purinoceptor 9) (P2Y9) (P2Y5-like receptor) (Purinergic receptor 9)	LPAR4 GPR23 LPA4 P2RY9	Homo sapiens (Human)	370
Q9H1C0	reviewed	LPAR5_HUMAN	Lysophosphatidic acid receptor 5 (LPA receptor 5) (LPA-5) (G-protein coupled receptor 92) (G-protein coupled receptor 93)	LPAR5 GPR92 GPR93	Homo sapiens (Human)	372
P43657	reviewed	LPAR6_HUMAN	Lysophosphatidic acid receptor 6 (LPA receptor 6) (LPA-6) (Oleoyl-L-alpha-lysophosphatidic acid receptor) (P2Y purinoceptor 5) (P2Y5) (Purinergic receptor 5) (RB intron encoded G-protein coupled receptor)	LPAR6 P2RY5	Homo sapiens (Human)	344
Q15722	reviewed	LT4R1_HUMAN	Leukotriene B4 receptor 1 (LTB4-R 1) (LTB4-R1) (Chemoattractant receptor-like 1) (G-protein coupled receptor 16) (P2Y purinoceptor 7) (P2Y7)	LTB4R BLT BLT1 BLTR CMKRL1 GPR16 P2RY7	Homo sapiens (Human)	352
Q9NPC1	reviewed	LT4R2_HUMAN	Leukotriene B4 receptor 2 (LTB4-R 2) (LTB4-R2) (LTB4 receptor JULF2) (Leukotriene B4 receptor BLT2) (Seven transmembrane receptor BLTR2)	LTB4R2 BLT2R BLTR2	Homo sapiens (Human)	358
P04201	reviewed	MAS_HUMAN	Proto-oncogene Mas	MAS1 MAS	Homo sapiens (Human)	325
P35410	reviewed	MAS1L_HUMAN	Mas-related G-protein coupled receptor MRG (MAS-R) (MAS1-like)	MAS1L MRG	Homo sapiens (Human)	378
Q01726	reviewed	MSHR_HUMAN	Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R)	MC1R MSHR	Homo sapiens (Human)	317
Q01718	reviewed	ACTHR_HUMAN	Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Adrenocorticotropin receptor) (Melanocortin receptor 2) (MC2-R)	MC2R ACTHR	Homo sapiens (Human)	297
P41968	reviewed	MC3R_HUMAN	Melanocortin receptor 3 (MC3-R)	MC3R	Homo sapiens (Human)	323
P32245	reviewed	MC4R_HUMAN	Melanocortin receptor 4 (MC4-R)	MC4R	Homo sapiens (Human)	332
P33032	reviewed	MC5R_HUMAN	Melanocortin receptor 5 (MC5-R) (MC-2)	MC5R	Homo sapiens (Human)	325
Q99705	reviewed	MCHR1_HUMAN	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein)	MCHR1 GPR24 SLC1	Homo sapiens (Human)	353
Q969V1	reviewed	MCHR2_HUMAN	Melanin-concentrating hormone receptor 2 (MCH receptor 2) (MCH-R2) (MCHR-2) (G-protein coupled receptor 145) (GPRv17) (MCH-2R) (MCH2) (MCH2R)	MCHR2 GPR145 SLT	Homo sapiens (Human)	340
O43193	reviewed	MTLR_HUMAN	Motilin receptor (G-protein coupled receptor 38)	MLNR GPR38 MTLR MTLR1	Homo sapiens (Human)	412
Q8TDS7	reviewed	MRGRD_HUMAN	Mas-related G-protein coupled receptor member D (Beta-alanine receptor) (G-protein coupled receptor TGR7)	MRGPRD MRGD	Homo sapiens (Human)	321
Q86SM8	reviewed	MRGRE_HUMAN	Mas-related G-protein coupled receptor member E (G-protein coupled receptor 167)	MRGPRE GPR167 MRGE	Homo sapiens (Human)	312
Q96AM1	reviewed	MRGRF_HUMAN	Mas-related G-protein coupled receptor member F (Mas-related gene F protein) (G-protein coupled receptor 140) (G-protein coupled receptor 168)	MRGPRF GPR140 GPR168 MRGF PSEC0142	Homo sapiens (Human)	343
Q86SM5	reviewed	MRGRG_HUMAN	Mas-related G-protein coupled receptor member G (G-protein coupled receptor 169)	MRGPRG GPR169 MRGG	Homo sapiens (Human)	289
Q96LB2	reviewed	MRGX1_HUMAN	Mas-related G-protein coupled receptor member X1 (Sensory neuron-specific G-protein coupled receptor 3/4)	MRGPRX1 MRGX1 SNSR3 SNSR4	Homo sapiens (Human)	322
Q96LB1	reviewed	MRGX2_HUMAN	Mas-related G-protein coupled receptor member X2	MRGPRX2 MRGX2	Homo sapiens (Human)	330
Q96LB0	reviewed	MRGX3_HUMAN	Mas-related G-protein coupled receptor member X3 (Sensory neuron-specific G-protein coupled receptor 1/2)	MRGPRX3 MRGX3 SNSR1 SNSR2	Homo sapiens (Human)	322
Q96LA9	reviewed	MRGX4_HUMAN	Mas-related G-protein coupled receptor member X4 (Sensory neuron-specific G-protein coupled receptor 5/6)	MRGPRX4 MRGX4 SNSR5 SNSR6	Homo sapiens (Human)	322
P48039	reviewed	MTR1A_HUMAN	Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor)	MTNR1A	Homo sapiens (Human)	350
P49286	reviewed	MTR1B_HUMAN	Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor)	MTNR1B	Homo sapiens (Human)	362
P42345	reviewed	MTOR_HUMAN	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549
P28336	reviewed	NMBR_HUMAN	Neuromedin-B receptor (NMB-R) (Epididymis tissue protein Li 185a) (Neuromedin-B-preferring bombesin receptor)	NMBR	Homo sapiens (Human)	390
Q9HB89	reviewed	NMUR1_HUMAN	Neuromedin-U receptor 1 (NMU-R1) (G-protein coupled receptor 66) (G-protein coupled receptor FM-3)	NMUR1 GPR66	Homo sapiens (Human)	426
Q9GZQ4	reviewed	NMUR2_HUMAN	Neuromedin-U receptor 2 (NMU-R2) (G-protein coupled receptor FM-4) (G-protein coupled receptor TGR-1)	NMUR2 NMU2R TGR1	Homo sapiens (Human)	415
P48145	reviewed	NPBW1_HUMAN	Neuropeptides B/W receptor type 1 (G-protein coupled receptor 7)	NPBWR1 GPR7	Homo sapiens (Human)	328
P48146	reviewed	NPBW2_HUMAN	Neuropeptides B/W receptor type 2 (G-protein coupled receptor 8)	NPBWR2 GPR8	Homo sapiens (Human)	333
Q9GZQ6	reviewed	NPFF1_HUMAN	Neuropeptide FF receptor 1 (G-protein coupled receptor 147) (RFamide-related peptide receptor OT7T022)	NPFFR1 GPR147 NPFF1	Homo sapiens (Human)	430
Q9Y5X5	reviewed	NPFF2_HUMAN	Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77) (Neuropeptide G-protein coupled receptor)	NPFFR2 GPR74 NPFF2 NPGPR	Homo sapiens (Human)	522
Q8WTW4	reviewed	NPRL2_HUMAN	GATOR1 complex protein NPRL2 (Gene 21 protein) (G21 protein) (Nitrogen permease regulator 2-like protein) (NPR2-like protein) (Tumor suppressor candidate 4)	NPRL2 TUSC4	Homo sapiens (Human)	380
Q12980	reviewed	NPRL3_HUMAN	GATOR1 complex protein NPRL3 (-14 gene protein) (Alpha-globin regulatory element-containing gene protein) (Nitrogen permease regulator 3-like protein) (Protein CGTHBA)	NPRL3 C16orf35 CGTHBA MARE	Homo sapiens (Human)	569
Q6W5P4	reviewed	NPSR1_HUMAN	Neuropeptide S receptor (G-protein coupled receptor 154) (G-protein coupled receptor PGR14) (G-protein coupled receptor for asthma susceptibility)	NPSR1 GPR154 GPRA PGR14	Homo sapiens (Human)	371
P25929	reviewed	NPY1R_HUMAN	Neuropeptide Y receptor type 1 (NPY1-R)	NPY1R NPYR NPYY1	Homo sapiens (Human)	384
P49146	reviewed	NPY2R_HUMAN	Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor)	NPY2R	Homo sapiens (Human)	381
P50391	reviewed	NPY4R_HUMAN	Neuropeptide Y receptor type 4 (NPY4-R) (Pancreatic polypeptide receptor 1) (PP1)	NPY4R PPYR1	Homo sapiens (Human)	375
P0DQD5	reviewed	NPY42_HUMAN	Neuropeptide Y receptor type 4-2	NPY4R2	Homo sapiens (Human)	375
Q15761	reviewed	NPY5R_HUMAN	Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor)	NPY5R NPYR5	Homo sapiens (Human)	445
Q99463	reviewed	NPY6R_HUMAN	Putative neuropeptide Y receptor type 6 (NPY6-R) (NPY Y1-like receptor) (Putative pancreatic polypeptide receptor 2) (PP2)	NPY6R NPY1RL Y2B	Homo sapiens (Human)	290
P30989	reviewed	NTR1_HUMAN	Neurotensin receptor type 1 (NT-R-1) (NTR1) (High-affinity levocabastine-insensitive neurotensin receptor) (NTRH)	NTSR1 NTRR	Homo sapiens (Human)	418
O95665	reviewed	NTR2_HUMAN	Neurotensin receptor type 2 (NT-R-2) (NTR2) (Levocabastine-sensitive neurotensin receptor)	NTSR2	Homo sapiens (Human)	410
Q5SWX8	reviewed	ODR4_HUMAN	Protein odr-4 homolog (hODR-4) (LAG1-interacting protein) (Transactivated by transforming growth factor beta protein 1)	ODR4 C1orf27 TTG1 TTG1A	Homo sapiens (Human)	454
P04000	reviewed	OPSR_HUMAN	Long-wave-sensitive opsin 1 (Red cone photoreceptor pigment) (Red-sensitive opsin) (ROP)	OPN1LW RCP	Homo sapiens (Human)	364
P04001	reviewed	OPSG_HUMAN	Medium-wave-sensitive opsin 1 (Green cone photoreceptor pigment) (Green-sensitive opsin) (GOP)	OPN1MW GCP	Homo sapiens (Human)	364
P0DN77	reviewed	OPSG2_HUMAN	Medium-wave-sensitive opsin 2 (Green cone photoreceptor pigment) (Green-sensitive opsin) (GOP) (Opsin 1 cone pigments medium-wave-sensitive 2)	OPN1MW2	Homo sapiens (Human)	364
P0DN78	reviewed	OPSG3_HUMAN	Medium-wave-sensitive opsin 3 (Green cone photoreceptor pigment) (Green-sensitive opsin) (GOP) (opsin 1 cone pigments medium-wave-sensitive 3)	OPN1MW3	Homo sapiens (Human)	364
P03999	reviewed	OPSB_HUMAN	Short-wave-sensitive opsin 1 (Blue cone photoreceptor pigment) (Blue-sensitive opsin) (BOP)	OPN1SW BCP	Homo sapiens (Human)	345
Q9H1Y3	reviewed	OPN3_HUMAN	Opsin-3 (Encephalopsin) (Panopsin)	OPN3 ECPN	Homo sapiens (Human)	402
Q9UHM6	reviewed	OPN4_HUMAN	Melanopsin (Opsin-4)	OPN4 MOP	Homo sapiens (Human)	478
Q6U736	reviewed	OPN5_HUMAN	Opsin-5 (G-protein coupled receptor 136) (G-protein coupled receptor PGR12) (Neuropsin) (Transmembrane protein 13)	OPN5 GPR136 PGR12 TMEM13	Homo sapiens (Human)	354
P41143	reviewed	OPRD_HUMAN	Delta-type opioid receptor (D-OR-1) (DOR-1)	OPRD1 OPRD	Homo sapiens (Human)	372
P41145	reviewed	OPRK_HUMAN	Kappa-type opioid receptor (K-OR-1) (KOR-1)	OPRK1 OPRK	Homo sapiens (Human)	380
P41146	reviewed	OPRX_HUMAN	Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor)	OPRL1 OOR ORL1	Homo sapiens (Human)	370
P35372	reviewed	OPRM_HUMAN	Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP)	OPRM1 MOR1	Homo sapiens (Human)	400
Q9H208	reviewed	O10A2_HUMAN	Olfactory receptor 10A2 (HP4) (Olfactory receptor OR11-86)	OR10A2 OR10A2P	Homo sapiens (Human)	303
P58181	reviewed	O10A3_HUMAN	Olfactory receptor 10A3 (HTPCRX12) (Olfactory receptor OR11-97)	OR10A3	Homo sapiens (Human)	314
Q9H209	reviewed	O10A4_HUMAN	Olfactory receptor 10A4 (HP2) (Olfactory receptor-like protein JCG5)	OR10A4 OR10A4P	Homo sapiens (Human)	315
Q9H207	reviewed	O10A5_HUMAN	Olfactory receptor 10A5 (HP3) (Olfactory receptor 10A1) (Olfactory receptor 11-403) (OR11-403) (Olfactory receptor-like protein JCG6)	OR10A5 OR10A1	Homo sapiens (Human)	317
Q8NH74	reviewed	O10A6_HUMAN	Olfactory receptor 10A6 (Olfactory receptor OR11-96)	OR10A6	Homo sapiens (Human)	314
Q8NGE5	reviewed	O10A7_HUMAN	Olfactory receptor 10A7 (Olfactory receptor OR12-6)	OR10A7	Homo sapiens (Human)	316
Q8NH08	reviewed	O10AC_HUMAN	Olfactory receptor 10AC1 (Olfactory receptor OR7-5)	OR10AC1 OR10AC1P	Homo sapiens (Human)	325
Q8NGE0	reviewed	O10AD_HUMAN	Olfactory receptor 10AD1 (Olfactory receptor OR12-1)	OR10AD1 OR10AD1P	Homo sapiens (Human)	317
Q8NH19	reviewed	O10AG_HUMAN	Olfactory receptor 10AG1 (Olfactory receptor OR11-160)	OR10AG1	Homo sapiens (Human)	301
Q96KK4	reviewed	O10C1_HUMAN	Olfactory receptor 10C1 (Hs6M1-17) (Olfactory receptor 10C2)	OR10C1 OR10C2	Homo sapiens (Human)	312
Q8NH80	reviewed	O10D3_HUMAN	Olfactory receptor 10D3 (HTPCRX09) (Olfactory receptor OR11-293)	OR10D3 OR10D3P	Homo sapiens (Human)	312
Q8NGN7	reviewed	O10D4_HUMAN	Putative olfactory receptor 10D4	OR10D4P OR10D4	Homo sapiens (Human)	298
Q8NGC3	reviewed	O10G2_HUMAN	Olfactory receptor 10G2	OR10G2	Homo sapiens (Human)	310
Q8NGC4	reviewed	O10G3_HUMAN	Olfactory receptor 10G3 (Olfactory receptor OR14-40)	OR10G3	Homo sapiens (Human)	313
Q8NGN3	reviewed	O10G4_HUMAN	Olfactory receptor 10G4 (Olfactory receptor OR11-278)	OR10G4	Homo sapiens (Human)	311
Q8NH81	reviewed	O10G6_HUMAN	Olfactory receptor 10G6 (Olfactory receptor OR11-280)	OR10G6 OR10G6P	Homo sapiens (Human)	332
Q8NGN6	reviewed	O10G7_HUMAN	Olfactory receptor 10G7 (Olfactory receptor OR11-283)	OR10G7	Homo sapiens (Human)	311
Q8NGN5	reviewed	O10G8_HUMAN	Olfactory receptor 10G8 (Olfactory receptor OR11-282)	OR10G8	Homo sapiens (Human)	311
Q8NGN4	reviewed	O10G9_HUMAN	Olfactory receptor 10G9 (Olfactory receptor 10G10)	OR10G9 OR10G10P	Homo sapiens (Human)	311
Q9Y4A9	reviewed	O10H1_HUMAN	Olfactory receptor 10H1 (Olfactory receptor OR19-27)	OR10H1	Homo sapiens (Human)	318
O60403	reviewed	O10H2_HUMAN	Olfactory receptor 10H2 (Olfactory receptor OR19-23)	OR10H2	Homo sapiens (Human)	315
O60404	reviewed	O10H3_HUMAN	Olfactory receptor 10H3 (Olfactory receptor OR19-24)	OR10H3	Homo sapiens (Human)	316
Q8NGA5	reviewed	O10H4_HUMAN	Olfactory receptor 10H4 (Olfactory receptor OR19-28)	OR10H4	Homo sapiens (Human)	316
Q8NGA6	reviewed	O10H5_HUMAN	Olfactory receptor 10H5 (Olfactory receptor OR19-25) (Olfactory receptor OR19-26)	OR10H5	Homo sapiens (Human)	315
P30954	reviewed	O10J1_HUMAN	Olfactory receptor 10J1 (Olfactory receptor OR1-26) (Olfactory receptor-like protein HGMP07J)	OR10J1	Homo sapiens (Human)	320
Q5JRS4	reviewed	O10J3_HUMAN	Olfactory receptor 10J3	OR10J3 OR10J3P	Homo sapiens (Human)	329
P0C629	reviewed	O10J4_HUMAN	Olfactory receptor 10J4	OR10J4 OR10J4P	Homo sapiens (Human)	311
Q8NHC4	reviewed	O10J5_HUMAN	Olfactory receptor 10J5 (Olfactory receptor OR1-28)	OR10J5	Homo sapiens (Human)	309
Q8NGY7	reviewed	O10J6_HUMAN	Putative olfactory receptor 10J6	OR10J6P OR10J6	Homo sapiens (Human)	276
Q8NGX5	reviewed	O10K1_HUMAN	Olfactory receptor 10K1 (Olfactory receptor OR1-6)	OR10K1	Homo sapiens (Human)	313
Q6IF99	reviewed	O10K2_HUMAN	Olfactory receptor 10K2 (Olfactory receptor OR1-4)	OR10K2	Homo sapiens (Human)	312
Q8NGE3	reviewed	O10P1_HUMAN	Olfactory receptor 10P1 (Olfactory receptor 10P2) (Olfactory receptor 10P3) (Olfactory receptor OR12-7)	OR10P1 OR10P1P OR10P2P OR10P3P	Homo sapiens (Human)	313
Q8NGQ4	reviewed	O10Q1_HUMAN	Olfactory receptor 10Q1 (Olfactory receptor OR11-233)	OR10Q1	Homo sapiens (Human)	319
Q8NGX6	reviewed	O10R2_HUMAN	Olfactory receptor 10R2 (Olfactory receptor OR1-8)	OR10R2	Homo sapiens (Human)	335
Q8NGN2	reviewed	O10S1_HUMAN	Olfactory receptor 10S1 (Olfactory receptor OR11-279)	OR10S1	Homo sapiens (Human)	331
Q8NGX3	reviewed	O10T2_HUMAN	Olfactory receptor 10T2 (Olfactory receptor OR1-3)	OR10T2	Homo sapiens (Human)	314
Q8NGI7	reviewed	O10V1_HUMAN	Olfactory receptor 10V1 (Olfactory receptor OR11-256)	OR10V1	Homo sapiens (Human)	309
Q8NGF6	reviewed	O10W1_HUMAN	Olfactory receptor 10W1 (Olfactory receptor OR11-236)	OR10W1 OR10W1P UNQ6469/PRO34070	Homo sapiens (Human)	305
Q8NGY0	reviewed	O10X1_HUMAN	Olfactory receptor 10X1 (Olfactory receptor OR1-14)	OR10X1 OR10X1P	Homo sapiens (Human)	326
Q8NGY1	reviewed	O10Z1_HUMAN	Olfactory receptor 10Z1 (Olfactory receptor OR1-15)	OR10Z1	Homo sapiens (Human)	313
Q9GZK7	reviewed	O11A1_HUMAN	Olfactory receptor 11A1 (Hs6M1-18) (Olfactory receptor 11A2) (Olfactory receptor OR6-30)	OR11A1 OR11A2	Homo sapiens (Human)	315
Q8NGC1	reviewed	O11G2_HUMAN	Olfactory receptor 11G2 (Olfactory receptor OR14-34)	OR11G2	Homo sapiens (Human)	345
Q8NG94	reviewed	O11H1_HUMAN	Olfactory receptor 11H1 (Olfactory receptor OR22-1)	OR11H1	Homo sapiens (Human)	326
B2RN74	reviewed	O11HC_HUMAN	Olfactory receptor 11H12	OR11H12	Homo sapiens (Human)	326
Q8NH07	reviewed	O11H2_HUMAN	Olfactory receptor 11H2 (Olfactory receptor OR14-1)	OR11H2 C14orf15 OR11H2P	Homo sapiens (Human)	326
Q8NGC9	reviewed	O11H4_HUMAN	Olfactory receptor 11H4 (Olfactory receptor OR14-36)	OR11H4	Homo sapiens (Human)	324
Q8NGC7	reviewed	O11H6_HUMAN	Olfactory receptor 11H6 (Olfactory receptor OR14-35)	OR11H6	Homo sapiens (Human)	330
Q8NGC8	reviewed	O11H7_HUMAN	Olfactory receptor 11H7 (Olfactory receptor OR14-32)	OR11H7 OR11H7P	Homo sapiens (Human)	314
Q8NGX0	reviewed	O11L1_HUMAN	Olfactory receptor 11L1	OR11L1	Homo sapiens (Human)	322
P0DN82	reviewed	O12D1_HUMAN	Olfactory receptor 12D1	OR12D1 OR12D1P	Homo sapiens (Human)	320
P58182	reviewed	O12D2_HUMAN	Olfactory receptor 12D2 (Hs6M1-20) (Olfactory receptor OR6-28)	OR12D2	Homo sapiens (Human)	307
Q9UGF7	reviewed	O12D3_HUMAN	Olfactory receptor 12D3 (Hs6M1-27) (Olfactory receptor OR6-27)	OR12D3	Homo sapiens (Human)	316
Q8NGR1	reviewed	O13A1_HUMAN	Olfactory receptor 13A1 (Olfactory receptor OR10-3)	OR13A1	Homo sapiens (Human)	328
Q8NGS9	reviewed	O13C2_HUMAN	Olfactory receptor 13C2 (Olfactory receptor OR9-12)	OR13C2	Homo sapiens (Human)	318
Q8NGS6	reviewed	O13C3_HUMAN	Olfactory receptor 13C3 (Olfactory receptor OR9-8)	OR13C3	Homo sapiens (Human)	347
Q8NGS5	reviewed	O13C4_HUMAN	Olfactory receptor 13C4 (Olfactory receptor OR9-7)	OR13C4	Homo sapiens (Human)	318
Q8NGS8	reviewed	O13C5_HUMAN	Olfactory receptor 13C5 (Olfactory receptor OR9-11)	OR13C5	Homo sapiens (Human)	318
Q8NH95	reviewed	O13C6_HUMAN	Putative olfactory receptor 13C6 (Olfactory receptor, family 13, subfamily C, member 6 pseudogene) (Olfactory receptor, family 13, subfamily C, member 7 pseudogene) (Putative olfactory receptor 13C7)	OR13C6P	Homo sapiens (Human)	151
